Type,Entry,Variations,Party,Country,EU,source_file,source_sheet,source_row
Name,Fabien Roussel,Fabien Roussel,French Communist Party,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,70
Party,French Communist Party–FGR–PCR–PCM–HeD,"PCF, Communist party, Communist, French Communist Party",French Communist Party–FGR–PCR–PCM–HeD,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,71
Name,Joe Biden,Joe Biden,Democratic Party,United States,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,72
Party,The Patriots,The Patriotes,The Patriots,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,73
Name,European Left,Left,Radical Party of the Left–R&PS–Volt–MdP–MDC–CSDR,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,74
Party,Future,"F. Philoppot, F Holande",Future,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,75
Name,Rassemblement National,"National Assembly, Rassemblement national",National Rally–LAF–LDP,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,76
Name,Manuel Valls,Manuel Valls,Renaissance,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,77
Party,Sweden Democrats,S&D,Sweden Democrats,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,78
Name,Ursula von der Leyen,"Ursula von der Leyen, Ursula Van der Leyen",Christian Democratic Union,Germany,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,79
Name,Nicolas Bay,Nicolas Bay,Reconquest,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,80
Name,Matthieu Valet,Matthieu Valet,National Rally,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,81
Party,Socialist Party–Place Publique,Place Publique,Socialist Party–Place Publique,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,82
Name,Stanislas Rigault,Stanislas Rigault,Reconquête,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,83
Party,Alliance,A. Leaument,Alliance,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,84
Name,David Cormand,David,The Ecologists,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,85
Name,Lionel Jospin,Lionel Jospin,Socialist Party,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,86
